epoch,iou_score,loss,lr,val_iou_score,val_loss
0,0.6236761212348938,0.49609673023223877,0.001,0.5967374444007874,0.5329219698905945
1,0.6274856925010681,0.4892568588256836,0.001,0.5818947553634644,0.5570255517959595
2,0.6318302750587463,0.48262083530426025,0.001,0.583892822265625,0.5610166788101196
3,0.6349674463272095,0.47925254702568054,0.001,0.6102406978607178,0.5267075896263123
4,0.6370952725410461,0.47671207785606384,0.001,0.6085582971572876,0.5242781043052673
5,0.6388283967971802,0.4746370017528534,0.001,0.6073439121246338,0.519530713558197
6,0.6411226987838745,0.47067731618881226,0.001,0.6095854043960571,0.5202130675315857
7,0.642369270324707,0.46964767575263977,0.001,0.5902594327926636,0.5443627834320068
8,0.6441373229026794,0.46743983030319214,0.001,0.6087237000465393,0.524436891078949
9,0.6450287699699402,0.4660564363002777,0.001,0.6085465550422668,0.5253464579582214
10,0.6448882222175598,0.4668160080909729,0.001,0.6114747524261475,0.5219503045082092
